TestNum,TESTNAME, FT LoLim,FT HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA1 LoLim,QA1 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA2 LoLim,QA2 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,,,TestNum,TESTNAME,QA3 LoLim,QA3 HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit,TestNum,TESTNAME,CHAR LoLim,CHAR HiLim,Scale,Unit,PinName,Format,ForceValue,ForceUnit
50082,ts_HVLV_IIN_avg_0p3_%Acc,-8.37,-0.37,scaleNoScaling,%,,,,,,,50082,ts_HVLV_IIN_avg_0p3_%Acc,-8.87,0.13,scaleNoScaling,%,,,,,,,50082,ts_HVLV_IIN_avg_0p3_%Acc,-8,3,scaleNoScaling,%,,,,,,,50082,ts_HVLV_IIN_avg_0p3_%Acc,-8,3,scaleNoScaling,%,,,,,50082,ts_HVLV_IIN_avg_0p3_%Acc,-8,3,scaleNoScaling,%,,,,
50083,ts_HVLV_IIN_avg_0p3_ADC,0,8191,scaleNoScaling,N,,,,,,,50083,ts_HVLV_IIN_avg_0p3_ADC,0,8191,scaleNoScaling,N,,,,,,,50083,ts_HVLV_IIN_avg_0p3_ADC,0,8191,scaleNoScaling,N,,,,,,,50083,ts_HVLV_IIN_avg_0p3_ADC,0,8191,scaleNoScaling,N,,,,,50083,ts_HVLV_IIN_avg_0p3_ADC,0,8191,scaleNoScaling,N,,,,
50084,PI_PreGC1_4V_VINSEN,3.96,4.04,scaleNoScaling,V,,,,,,,50084,PI_PreGC1_4V_VINSEN,3.92,4.08,scaleNoScaling,V,,,,,,,50084,PI_PreGC1_4V_VINSEN,3.92,4.08,scaleNoScaling,V,,,,,,,50084,PI_PreGC1_4V_VINSEN,3.92,4.08,scaleNoScaling,V,,,,,50084,PI_PreGC1_4V_VINSEN,3.92,4.08,scaleNoScaling,V,,,,
50085,PI_PreGC1_4V_IINSEN,3.96,4.04,scaleNoScaling,V,,,,,,,50085,PI_PreGC1_4V_IINSEN,3.92,4.08,scaleNoScaling,V,,,,,,,50085,PI_PreGC1_4V_IINSEN,3.92,4.08,scaleNoScaling,V,,,,,,,50085,PI_PreGC1_4V_IINSEN,3.92,4.08,scaleNoScaling,V,,,,,50085,PI_PreGC1_4V_IINSEN,3.92,4.08,scaleNoScaling,V,,,,
50086,PI_PreGC2_1p05V_VINSEN,1.0395,1.0605,scaleNoScaling,V,,,,,,,50086,PI_PreGC2_1p05V_VINSEN,1.0164,1.071,scaleNoScaling,V,,,,,,,50086,PI_PreGC2_1p05V_VINSEN,1.029,1.071,scaleNoScaling,V,,,,,,,50086,PI_PreGC2_1p05V_VINSEN,1.029,1.071,scaleNoScaling,V,,,,,50086,PI_PreGC2_1p05V_VINSEN,1.029,1.071,scaleNoScaling,V,,,,
50087,PI_PreGC2_1p05V_IINSEN,1.0395,1.0605,scaleNoScaling,V,,,,,,,50087,PI_PreGC2_1p05V_IINSEN,1.0164,1.071,scaleNoScaling,V,,,,,,,50087,PI_PreGC2_1p05V_IINSEN,1.029,1.071,scaleNoScaling,V,,,,,,,50087,PI_PreGC2_1p05V_IINSEN,1.029,1.071,scaleNoScaling,V,,,,,50087,PI_PreGC2_1p05V_IINSEN,1.029,1.071,scaleNoScaling,V,,,,
50088,PI_PreGC2_0p15V_VINSEN,0.147,0.153,scaleNoScaling,V,,,,,,,50088,PI_PreGC2_0p15V_VINSEN,0.144,0.156,scaleNoScaling,V,,,,,,,50088,PI_PreGC2_0p15V_VINSEN,0.144,0.156,scaleNoScaling,V,,,,,,,50088,PI_PreGC2_0p15V_VINSEN,0.144,0.156,scaleNoScaling,V,,,,,50088,PI_PreGC2_0p15V_VINSEN,0.144,0.156,scaleNoScaling,V,,,,
50089,PI_PreGC2_0p15V_IINSEN,0.147,0.153,scaleNoScaling,V,,,,,,,50089,PI_PreGC2_0p15V_IINSEN,0.144,0.156,scaleNoScaling,V,,,,,,,50089,PI_PreGC2_0p15V_IINSEN,0.144,0.156,scaleNoScaling,V,,,,,,,50089,PI_PreGC2_0p15V_IINSEN,0.144,0.156,scaleNoScaling,V,,,,,50089,PI_PreGC2_0p15V_IINSEN,0.144,0.156,scaleNoScaling,V,,,,
50090,PI_PreGC3B_4V_VINSEN,3.96,4.04,scaleNoScaling,V,,,,,,,50090,PI_PreGC3B_4V_VINSEN,3.92,4.08,scaleNoScaling,V,,,,,,,50090,PI_PreGC3B_4V_VINSEN,3.92,4.08,scaleNoScaling,V,,,,,,,50090,PI_PreGC3B_4V_VINSEN,3.92,4.08,scaleNoScaling,V,,,,,50090,PI_PreGC3B_4V_VINSEN,3.92,4.08,scaleNoScaling,V,,,,
50091,PI_PreGC3B_4V_IINSEN,3.96,4.04,scaleNoScaling,V,,,,,,,50091,PI_PreGC3B_4V_IINSEN,3.92,4.08,scaleNoScaling,V,,,,,,,50091,PI_PreGC3B_4V_IINSEN,3.92,4.08,scaleNoScaling,V,,,,,,,50091,PI_PreGC3B_4V_IINSEN,3.92,4.08,scaleNoScaling,V,,,,,50091,PI_PreGC3B_4V_IINSEN,3.92,4.08,scaleNoScaling,V,,,,
80001,OTP_Trim_UpLoad_Status,0,0,scaleNoScaling,N,,,,,,,80001,OTP_Trim_UpLoad_Status,,,scaleNoScaling,N,,,,,,,80001,OTP_Trim_UpLoad_Status,,,scaleNoScaling,N,,,,,,,80001,OTP_Trim_UpLoad_Status,,,scaleNoScaling,N,,,,,80001,OTP_Trim_UpLoad_Status,,,scaleNoScaling,N,,,,
80002,OTP_UpLoad_CRC_Low16,0,,scaleNoScaling,N,,%x,,,,,80002,OTP_UpLoad_CRC_Low16,,,scaleNoScaling,N,,%x,,,,,80002,OTP_UpLoad_CRC_Low16,,,scaleNoScaling,N,,%x,,,,,80002,OTP_UpLoad_CRC_Low16,,,scaleNoScaling,N,,%x,,,80002,OTP_UpLoad_CRC_Low16,,,scaleNoScaling,N,,%x,,
80003,OTP_UpLoad_CRC_High16,0,,scaleNoScaling,N,,%x,,,,,80003,OTP_UpLoad_CRC_High16,,,scaleNoScaling,N,,%x,,,,,80003,OTP_UpLoad_CRC_High16,,,scaleNoScaling,N,,%x,,,,,80003,OTP_UpLoad_CRC_High16,,,scaleNoScaling,N,,%x,,,80003,OTP_UpLoad_CRC_High16,,,scaleNoScaling,N,,%x,,
80004,OTP_Trim_DownLoad_Status,0,0,scaleNoScaling,N,,,,,,,80004,OTP_Trim_DownLoad_Status,0,0,scaleNoScaling,N,,,,,,,80004,OTP_Trim_DownLoad_Status,0,0,scaleNoScaling,N,,,,,,,80004,OTP_Trim_DownLoad_Status,0,0,scaleNoScaling,N,,,,,80004,OTP_Trim_DownLoad_Status,0,0,scaleNoScaling,N,,,,
80005,OTP_DownLoad_CRC_Low16,0,,scaleNoScaling,N,,%x,,,,,80005,OTP_DownLoad_CRC_Low16,,,scaleNoScaling,N,,%x,,,,,80005,OTP_DownLoad_CRC_Low16,,,scaleNoScaling,N,,%x,,,,,80005,OTP_DownLoad_CRC_Low16,,,scaleNoScaling,N,,%x,,,80005,OTP_DownLoad_CRC_Low16,,,scaleNoScaling,N,,%x,,
80006,OTP_DownLoad_CRC_High16,0,,scaleNoScaling,N,,%x,,,,,80006,OTP_DownLoad_CRC_High16,,,scaleNoScaling,N,,%x,,,,,80006,OTP_DownLoad_CRC_High16,,,scaleNoScaling,N,,%x,,,,,80006,OTP_DownLoad_CRC_High16,,,scaleNoScaling,N,,%x,,,80006,OTP_DownLoad_CRC_High16,,,scaleNoScaling,N,,%x,,
80007,OTP_CRC_Check,0,0,scaleNoScaling,N,,,,,,,80007,OTP_CRC_Check,,,scaleNoScaling,N,,,,,,,80007,OTP_CRC_Check,,,scaleNoScaling,N,,,,,,,80007,OTP_CRC_Check,,,scaleNoScaling,N,,,,,80007,OTP_CRC_Check,,,scaleNoScaling,N,,,,
80008,OTP_configs_Status,0,0,scaleNoScaling,N,,,,,,,80008,OTP_configs_Status,,,scaleNoScaling,N,,,,,,,80008,OTP_configs_Status,,,scaleNoScaling,N,,,,,,,80008,OTP_configs_Status,,,scaleNoScaling,N,,,,,80008,OTP_configs_Status,,,scaleNoScaling,N,,,,
80010,Patch_Pat_Check0,0,0,scaleNoScaling,N,,,,,,,80010,Patch_Pat_Check0,,,scaleNoScaling,N,,,,,,,80010,Patch_Pat_Check0,,,scaleNoScaling,N,,,,,,,80010,Patch_Pat_Check0,,,scaleNoScaling,N,,,,,80010,Patch_Pat_Check0,,,scaleNoScaling,N,,,,
80011,Version_ID_Check0,0,0,scaleNoScaling,N,,,,,,,80011,Version_ID_Check0,0,0,scaleNoScaling,N,,,,,,,80011,Version_ID_Check0,0,0,scaleNoScaling,N,,,,,,,80011,Version_ID_Check0,0,0,scaleNoScaling,N,,,,,80011,Version_ID_Check0,0,0,scaleNoScaling,N,,,,
80013,Patch_Pat_Check1,0,0,scaleNoScaling,N,,,,,,,80013,Patch_Pat_Check1,,,scaleNoScaling,N,,,,,,,80013,Patch_Pat_Check1,,,scaleNoScaling,N,,,,,,,80013,Patch_Pat_Check1,,,scaleNoScaling,N,,,,,80013,Patch_Pat_Check1,,,scaleNoScaling,N,,,,
80014,Version_ID_Check1,0,0,scaleNoScaling,N,,,,,,,80014,Version_ID_Check1,0,0,scaleNoScaling,N,,,,,,,80014,Version_ID_Check1,0,0,scaleNoScaling,N,,,,,,,80014,Version_ID_Check1,0,0,scaleNoScaling,N,,,,,80014,Version_ID_Check1,0,0,scaleNoScaling,N,,,,
111001,IS_vp_1k_1_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111001,IS_vp_1k_1_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111001,IS_vp_1k_1_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111001,IS_vp_1k_1_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111001,IS_vp_1k_1_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111002,IS_vn_1k_1_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111002,IS_vn_1k_1_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111002,IS_vn_1k_1_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111002,IS_vn_1k_1_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111002,IS_vn_1k_1_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111003,IS_vp_1k_2_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111003,IS_vp_1k_2_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111003,IS_vp_1k_2_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111003,IS_vp_1k_2_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111003,IS_vp_1k_2_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111004,IS_vn_1k_2_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111004,IS_vn_1k_2_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111004,IS_vn_1k_2_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111004,IS_vn_1k_2_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111004,IS_vn_1k_2_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111005,IS_vp_1k_3_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111005,IS_vp_1k_3_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111005,IS_vp_1k_3_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111005,IS_vp_1k_3_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111005,IS_vp_1k_3_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111006,IS_vn_1k_3_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111006,IS_vn_1k_3_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111006,IS_vn_1k_3_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111006,IS_vn_1k_3_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111006,IS_vn_1k_3_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111007,IS_vp_1k_4_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111007,IS_vp_1k_4_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111007,IS_vp_1k_4_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111007,IS_vp_1k_4_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111007,IS_vp_1k_4_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111008,IS_vn_1k_4_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111008,IS_vn_1k_4_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111008,IS_vn_1k_4_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111008,IS_vn_1k_4_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111008,IS_vn_1k_4_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111009,IS_vp_1k_5_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111009,IS_vp_1k_5_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111009,IS_vp_1k_5_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111009,IS_vp_1k_5_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111009,IS_vp_1k_5_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111010,IS_vn_1k_5_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111010,IS_vn_1k_5_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111010,IS_vn_1k_5_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111010,IS_vn_1k_5_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111010,IS_vn_1k_5_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111011,IS_vp_1k_6_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111011,IS_vp_1k_6_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111011,IS_vp_1k_6_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111011,IS_vp_1k_6_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111011,IS_vp_1k_6_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111012,IS_vn_1k_6_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111012,IS_vn_1k_6_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111012,IS_vn_1k_6_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111012,IS_vn_1k_6_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111012,IS_vn_1k_6_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111013,IS_vp_1k_7_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111013,IS_vp_1k_7_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111013,IS_vp_1k_7_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111013,IS_vp_1k_7_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111013,IS_vp_1k_7_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111014,IS_vn_1k_7_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111014,IS_vn_1k_7_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111014,IS_vn_1k_7_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111014,IS_vn_1k_7_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111014,IS_vn_1k_7_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111015,IS_vp_1k_8_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111015,IS_vp_1k_8_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111015,IS_vp_1k_8_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111015,IS_vp_1k_8_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111015,IS_vp_1k_8_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111016,IS_vn_1k_8_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111016,IS_vn_1k_8_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111016,IS_vn_1k_8_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111016,IS_vn_1k_8_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111016,IS_vn_1k_8_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111017,IS_vp_1k_9_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111017,IS_vp_1k_9_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111017,IS_vp_1k_9_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111017,IS_vp_1k_9_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111017,IS_vp_1k_9_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111018,IS_vn_1k_9_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111018,IS_vn_1k_9_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111018,IS_vn_1k_9_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111018,IS_vn_1k_9_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111018,IS_vn_1k_9_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111019,IS_vp_1k_10_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111019,IS_vp_1k_10_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111019,IS_vp_1k_10_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111019,IS_vp_1k_10_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111019,IS_vp_1k_10_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111020,IS_vn_1k_10_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111020,IS_vn_1k_10_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111020,IS_vn_1k_10_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111020,IS_vn_1k_10_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111020,IS_vn_1k_10_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111021,IS_vp_1k_11_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111021,IS_vp_1k_11_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111021,IS_vp_1k_11_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111021,IS_vp_1k_11_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111021,IS_vp_1k_11_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111022,IS_vn_1k_11_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111022,IS_vn_1k_11_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111022,IS_vn_1k_11_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111022,IS_vn_1k_11_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111022,IS_vn_1k_11_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111023,IS_vp_1k_12_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111023,IS_vp_1k_12_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111023,IS_vp_1k_12_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111023,IS_vp_1k_12_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111023,IS_vp_1k_12_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111024,IS_vn_1k_12_0uA,1.1,1.27,scaleNoScaling,V,,%1.3f,,,,,111024,IS_vn_1k_12_0uA,1.09,1.28,scaleNoScaling,V,,%1.3f,,,,,111024,IS_vn_1k_12_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,,,111024,IS_vn_1k_12_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,,111024,IS_vn_1k_12_0uA,1.08,1.28,scaleNoScaling,V,,%1.3f,,
111025,IS_vp_1k_1_100uA,1.2,1.38,scaleNoScaling,V,,%1.3f,,,,,111025,IS_vp_1k_1_100uA,1.19,1.39,scaleNoScaling,V,,%1.3f,,,,,111025,IS_vp_1k_1_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,,,111025,IS_vp_1k_1_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,111025,IS_vp_1k_1_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,
111026,IS_vn_1k_1_100uA,1.1,1.28,scaleNoScaling,V,,%1.3f,,,,,111026,IS_vn_1k_1_100uA,1.09,1.29,scaleNoScaling,V,,%1.3f,,,,,111026,IS_vn_1k_1_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,,,111026,IS_vn_1k_1_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,111026,IS_vn_1k_1_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,
111027,IS_vp_1k_2_100uA,1.2,1.38,scaleNoScaling,V,,%1.3f,,,,,111027,IS_vp_1k_2_100uA,1.19,1.39,scaleNoScaling,V,,%1.3f,,,,,111027,IS_vp_1k_2_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,,,111027,IS_vp_1k_2_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,111027,IS_vp_1k_2_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,
111028,IS_vn_1k_2_100uA,1.1,1.28,scaleNoScaling,V,,%1.3f,,,,,111028,IS_vn_1k_2_100uA,1.09,1.29,scaleNoScaling,V,,%1.3f,,,,,111028,IS_vn_1k_2_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,,,111028,IS_vn_1k_2_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,111028,IS_vn_1k_2_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,
111029,IS_vp_1k_3_100uA,1.2,1.38,scaleNoScaling,V,,%1.3f,,,,,111029,IS_vp_1k_3_100uA,1.19,1.39,scaleNoScaling,V,,%1.3f,,,,,111029,IS_vp_1k_3_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,,,111029,IS_vp_1k_3_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,111029,IS_vp_1k_3_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,
111030,IS_vn_1k_3_100uA,1.1,1.28,scaleNoScaling,V,,%1.3f,,,,,111030,IS_vn_1k_3_100uA,1.09,1.29,scaleNoScaling,V,,%1.3f,,,,,111030,IS_vn_1k_3_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,,,111030,IS_vn_1k_3_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,111030,IS_vn_1k_3_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,
111031,IS_vp_1k_4_100uA,1.2,1.38,scaleNoScaling,V,,%1.3f,,,,,111031,IS_vp_1k_4_100uA,1.19,1.39,scaleNoScaling,V,,%1.3f,,,,,111031,IS_vp_1k_4_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,,,111031,IS_vp_1k_4_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,111031,IS_vp_1k_4_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,
111032,IS_vn_1k_4_100uA,1.1,1.28,scaleNoScaling,V,,%1.3f,,,,,111032,IS_vn_1k_4_100uA,1.09,1.29,scaleNoScaling,V,,%1.3f,,,,,111032,IS_vn_1k_4_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,,,111032,IS_vn_1k_4_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,111032,IS_vn_1k_4_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,
111033,IS_vp_1k_5_100uA,1.2,1.38,scaleNoScaling,V,,%1.3f,,,,,111033,IS_vp_1k_5_100uA,1.19,1.39,scaleNoScaling,V,,%1.3f,,,,,111033,IS_vp_1k_5_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,,,111033,IS_vp_1k_5_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,111033,IS_vp_1k_5_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,
111034,IS_vn_1k_5_100uA,1.1,1.28,scaleNoScaling,V,,%1.3f,,,,,111034,IS_vn_1k_5_100uA,1.09,1.29,scaleNoScaling,V,,%1.3f,,,,,111034,IS_vn_1k_5_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,,,111034,IS_vn_1k_5_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,111034,IS_vn_1k_5_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,
111035,IS_vp_1k_6_100uA,1.2,1.38,scaleNoScaling,V,,%1.3f,,,,,111035,IS_vp_1k_6_100uA,1.19,1.39,scaleNoScaling,V,,%1.3f,,,,,111035,IS_vp_1k_6_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,,,111035,IS_vp_1k_6_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,111035,IS_vp_1k_6_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,
111036,IS_vn_1k_6_100uA,1.1,1.28,scaleNoScaling,V,,%1.3f,,,,,111036,IS_vn_1k_6_100uA,1.09,1.29,scaleNoScaling,V,,%1.3f,,,,,111036,IS_vn_1k_6_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,,,111036,IS_vn_1k_6_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,111036,IS_vn_1k_6_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,
111037,IS_vp_1k_7_100uA,1.2,1.38,scaleNoScaling,V,,%1.3f,,,,,111037,IS_vp_1k_7_100uA,1.19,1.39,scaleNoScaling,V,,%1.3f,,,,,111037,IS_vp_1k_7_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,,,111037,IS_vp_1k_7_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,,111037,IS_vp_1k_7_100uA,1.2,1.4,scaleNoScaling,V,,%1.3f,,
111038,IS_vn_1k_7_100uA,1.1,1.28,scaleNoScaling,V,,%1.3f,,,,,111038,IS_vn_1k_7_100uA,1.09,1.29,scaleNoScaling,V,,%1.3f,,,,,111038,IS_vn_1k_7_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,,,111038,IS_vn_1k_7_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,,111038,IS_vn_1k_7_100uA,1.1,1.3,scaleNoScaling,V,,%1.3f,,
